
Start time     : 2019-02-27T13:28:08
Program name   : esorex
Severity level : [ INFO  ] 

13:28:08 [ INFO  ] : [tid=000] This is EsoRex, version 3.13.1
13:28:08 [ INFO  ] : [tid=000] using the libraries: CPL = 7.1, CFITSIO = 3.36, WCSLIB = 4.24, FFTW (normal precision) = 3.3.4-sse2, FFTW (single precision) = 3.3.4-sse2, CPL FLOP counting is unavailable, enable with -DCPL_ADD_FLOPS, OPENMP = 200805
13:28:08 [ INFO  ] : [tid=000] Invocation command line was: esorex --recipe-config=/home/mmarcano/Documents/ReduceMUSE2017/Observation2/config/muse_lsf.rc --log-file=lsf.log muse_lsf /home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/sof/lsf.sof
13:28:08 [ INFO  ] muse_processing_recipeinfo: [tid=000] MUSE Instrument Pipeline v2.6
13:28:12 [ INFO  ] muse_image_load_from_raw: [tid=002] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:01:04.356.fits[CHAN03]" (extension 6)
13:28:13 [ INFO  ] muse_image_load_from_raw: [tid=002] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:02:24.358.fits[CHAN03]" (extension 6)
13:28:13 [ INFO  ] muse_image_load_from_raw: [tid=004] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:01:04.356.fits[CHAN05]" (extension 5)
13:28:13 [ INFO  ] muse_image_load_from_raw: [tid=002] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:03:45.356.fits[CHAN03]" (extension 6)
13:28:13 [ INFO  ] muse_image_load_from_raw: [tid=004] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:02:24.358.fits[CHAN05]" (extension 5)
13:28:13 [ INFO  ] muse_image_load_from_raw: [tid=002] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:05:05.356.fits[CHAN03]" (extension 6)
13:28:13 [ INFO  ] muse_image_load_from_raw: [tid=004] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:03:45.356.fits[CHAN05]" (extension 5)
13:28:13 [ INFO  ] muse_image_load_from_raw: [tid=002] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:06:26.355.fits[CHAN03]" (extension 6)
13:28:13 [ INFO  ] muse_image_load_from_raw: [tid=004] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:05:05.356.fits[CHAN05]" (extension 5)
13:28:13 [ INFO  ] muse_image_load_from_raw: [tid=002] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-03T11:21:26.177.fits[CHAN03]" (extension 6)
13:28:13 [ INFO  ] muse_image_load_from_raw: [tid=014] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:01:04.356.fits[CHAN15]" (extension 3)
13:28:13 [ INFO  ] muse_image_load_from_raw: [tid=004] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:06:26.355.fits[CHAN05]" (extension 5)
13:28:13 [ INFO  ] muse_image_load_from_raw: [tid=010] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:01:04.356.fits[CHAN11]" (extension 4)
13:28:13 [ INFO  ] muse_image_load_from_raw: [tid=002] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-03T11:22:46.177.fits[CHAN03]" (extension 6)
13:28:13 [ INFO  ] muse_image_load_from_raw: [tid=014] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:02:24.358.fits[CHAN15]" (extension 3)
13:28:14 [ INFO  ] muse_image_load_from_raw: [tid=001] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:01:04.356.fits[CHAN02]" (extension 12)
13:28:14 [ INFO  ] muse_image_load_from_raw: [tid=004] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-03T11:21:26.177.fits[CHAN05]" (extension 5)
13:28:14 [ INFO  ] muse_image_load_from_raw: [tid=010] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:02:24.358.fits[CHAN11]" (extension 4)
13:28:14 [ INFO  ] muse_image_load_from_raw: [tid=014] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:03:45.356.fits[CHAN15]" (extension 3)
13:28:14 [ INFO  ] muse_image_load_from_raw: [tid=002] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-03T11:24:06.177.fits[CHAN03]" (extension 6)
13:28:14 [ INFO  ] muse_image_load_from_raw: [tid=016] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:01:04.356.fits[CHAN17]" (extension 2)
13:28:14 [ INFO  ] muse_image_load_from_raw: [tid=004] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-03T11:22:46.177.fits[CHAN05]" (extension 5)
13:28:14 [ INFO  ] muse_image_load_from_raw: [tid=001] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:02:24.358.fits[CHAN02]" (extension 12)
13:28:14 [ INFO  ] muse_image_load_from_raw: [tid=010] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:03:45.356.fits[CHAN11]" (extension 4)
13:28:14 [ INFO  ] muse_image_load_from_raw: [tid=014] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:05:05.356.fits[CHAN15]" (extension 3)
13:28:14 [ INFO  ] muse_image_load_from_raw: [tid=002] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-03T11:25:26.177.fits[CHAN03]" (extension 6)
13:28:14 [ INFO  ] muse_image_load_from_raw: [tid=016] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:02:24.358.fits[CHAN17]" (extension 2)
13:28:14 [ INFO  ] muse_image_load_from_raw: [tid=004] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-03T11:24:06.177.fits[CHAN05]" (extension 5)
13:28:14 [ INFO  ] muse_image_load_from_raw: [tid=010] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:05:05.356.fits[CHAN11]" (extension 4)
13:28:14 [ INFO  ] muse_image_load_from_raw: [tid=001] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:03:45.356.fits[CHAN02]" (extension 12)
13:28:14 [ INFO  ] muse_image_load_from_raw: [tid=014] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:06:26.355.fits[CHAN15]" (extension 3)
13:28:14 [ INFO  ] muse_image_load_from_raw: [tid=002] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-03T11:26:46.177.fits[CHAN03]" (extension 6)
13:28:14 [ INFO  ] muse_image_load_from_raw: [tid=016] loaded "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/MUSE.2017-06-01T11:03:45.356.fits[CHAN17]" (extension 2)
