
Start time     : 2019-02-27T13:45:57
Program name   : esorex
Severity level : [ INFO  ] 

13:45:57 [ INFO  ] : [tid=000] This is EsoRex, version 3.13.1
13:45:57 [ INFO  ] : [tid=000] using the libraries: CPL = 7.1, CFITSIO = 3.36, WCSLIB = 4.24, FFTW (normal precision) = 3.3.4-sse2, FFTW (single precision) = 3.3.4-sse2, CPL FLOP counting is unavailable, enable with -DCPL_ADD_FLOPS, OPENMP = 200805
13:45:57 [ INFO  ] : [tid=000] Invocation command line was: esorex --recipe-config=/home/mmarcano/Documents/ReduceMUSE2017/Observation2/config/muse_twilight.rc --log-file=twilight.log muse_twilight /home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/sof/twilight.sof
13:45:57 [ INFO  ] muse_processing_recipeinfo: [tid=000] MUSE Instrument Pipeline v2.6
13:45:57 [ INFO  ] muse_table_load: [tid=000] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/data_with_raw_calibs/M.MUSE.2017-05-02T10:33:34.610.fits" (ext 1).
13:45:57 [ INFO  ] muse_table_load: [tid=001] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/TRACE_TABLE.fits[CHAN02]" (ext 2).
13:45:57 [ INFO  ] muse_table_load: [tid=002] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/TRACE_TABLE.fits[CHAN03]" (ext 3).
13:45:57 [ INFO  ] muse_table_load: [tid=003] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/TRACE_TABLE.fits[CHAN04]" (ext 4).
13:45:57 [ INFO  ] muse_table_load: [tid=006] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/TRACE_TABLE.fits[CHAN07]" (ext 7).
13:45:57 [ INFO  ] muse_table_load: [tid=007] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/TRACE_TABLE.fits[CHAN08]" (ext 8).
13:45:57 [ INFO  ] muse_table_load: [tid=005] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/TRACE_TABLE.fits[CHAN06]" (ext 6).
13:45:57 [ INFO  ] muse_table_load: [tid=008] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/TRACE_TABLE.fits[CHAN09]" (ext 9).
13:45:57 [ INFO  ] muse_table_load: [tid=009] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/TRACE_TABLE.fits[CHAN10]" (ext 10).
13:45:57 [ INFO  ] muse_table_load: [tid=010] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/TRACE_TABLE.fits[CHAN11]" (ext 11).
13:45:57 [ INFO  ] muse_table_load: [tid=012] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/TRACE_TABLE.fits[CHAN13]" (ext 13).
13:45:57 [ INFO  ] muse_table_load: [tid=011] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/TRACE_TABLE.fits[CHAN12]" (ext 12).
13:45:57 [ INFO  ] muse_table_load: [tid=013] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/TRACE_TABLE.fits[CHAN14]" (ext 14).
13:45:57 [ INFO  ] muse_table_load: [tid=014] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/TRACE_TABLE.fits[CHAN15]" (ext 15).
13:45:57 [ INFO  ] muse_table_load: [tid=018] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/TRACE_TABLE.fits[CHAN19]" (ext 19).
13:45:57 [ INFO  ] muse_table_load: [tid=015] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/TRACE_TABLE.fits[CHAN16]" (ext 16).
13:45:57 [ INFO  ] muse_table_load: [tid=017] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/TRACE_TABLE.fits[CHAN18]" (ext 18).
13:45:57 [ INFO  ] muse_table_load: [tid=020] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/TRACE_TABLE.fits[CHAN21]" (ext 21).
13:45:57 [ INFO  ] muse_table_load: [tid=021] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/TRACE_TABLE.fits[CHAN22]" (ext 22).
13:45:57 [ INFO  ] muse_table_load: [tid=022] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/TRACE_TABLE.fits[CHAN23]" (ext 23).
13:45:57 [ INFO  ] muse_table_load: [tid=023] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/TRACE_TABLE.fits[CHAN24]" (ext 24).
13:45:57 [ INFO  ] muse_table_load: [tid=001] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/WAVECAL_TABLE.fits[CHAN02]" (ext 2).
13:45:58 [ INFO  ] muse_table_load: [tid=002] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/WAVECAL_TABLE.fits[CHAN03]" (ext 3).
13:45:58 [ INFO  ] muse_table_load: [tid=003] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/WAVECAL_TABLE.fits[CHAN04]" (ext 4).
13:45:58 [ INFO  ] muse_table_load: [tid=006] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/WAVECAL_TABLE.fits[CHAN07]" (ext 7).
13:45:58 [ INFO  ] muse_table_load: [tid=005] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/WAVECAL_TABLE.fits[CHAN06]" (ext 6).
13:45:58 [ INFO  ] muse_table_load: [tid=007] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/WAVECAL_TABLE.fits[CHAN08]" (ext 8).
13:45:58 [ INFO  ] muse_table_load: [tid=008] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/WAVECAL_TABLE.fits[CHAN09]" (ext 9).
13:45:58 [ INFO  ] muse_table_load: [tid=009] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/WAVECAL_TABLE.fits[CHAN10]" (ext 10).
13:45:58 [ INFO  ] muse_table_load: [tid=000] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/TRACE_TABLE.fits[CHAN01]" (ext 1).
13:45:58 [ INFO  ] muse_table_load: [tid=010] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/WAVECAL_TABLE.fits[CHAN11]" (ext 11).
13:45:58 [ INFO  ] muse_table_load: [tid=012] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/WAVECAL_TABLE.fits[CHAN13]" (ext 13).
13:45:58 [ INFO  ] muse_table_load: [tid=011] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/WAVECAL_TABLE.fits[CHAN12]" (ext 12).
13:45:58 [ INFO  ] muse_table_load: [tid=013] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/WAVECAL_TABLE.fits[CHAN14]" (ext 14).
13:45:58 [ INFO  ] muse_table_load: [tid=014] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/WAVECAL_TABLE.fits[CHAN15]" (ext 15).
13:45:58 [ INFO  ] muse_table_load: [tid=015] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/WAVECAL_TABLE.fits[CHAN16]" (ext 16).
13:45:58 [ INFO  ] muse_table_load: [tid=018] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/WAVECAL_TABLE.fits[CHAN19]" (ext 19).
13:45:58 [ INFO  ] muse_table_load: [tid=017] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/WAVECAL_TABLE.fits[CHAN18]" (ext 18).
13:45:58 [ INFO  ] muse_table_load: [tid=020] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/WAVECAL_TABLE.fits[CHAN21]" (ext 21).
13:45:58 [ INFO  ] muse_table_load: [tid=004] Loaded table from file "/home/mmarcano/Documents/ReduceMUSE2017/Observation2/data/TRACE_TABLE.fits[CHAN05]" (ext 5).
