_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	SrcIDgaia	RAgaia	e_RAgaia	DEgaia	e_DEgaia	Org	Nu	EPucac	pmRA	e_pmRA	pmDE	e_pmDE	Gmag	f.mag	Rmag	Jmag	Hmag	Kmag
265.220082547	-53.701349417	265.2200822	-53.7013414	5921745017599397376	265.2200864	14.7	-53.7014308	15.9	2	4	1998.520	0.5	2.4	-19.5	2.4	14.309	14.863	14.120	12.798	12.357	12.214
265.221248827	-53.697118490	265.2212464	-53.6971111	5921745017593254528	265.2212739	0.5	-53.6971936	0.5	2	7	1998.522	3.5	0.9	-18.0	0.9	10.913	11.162	11.070	9.184	8.627	8.472
265.222672553	-53.700019056	265.2226686	-53.7000122	5921745017599399296	265.2227125	8.3	-53.7000886	9.0	2	7	1998.522	5.7	1.1	-16.7	1.1	13.649	14.122	13.590	13.336	13.371	13.302
265.226094267	-53.699228402	265.2260894	-53.6992128	5921745017599637760	265.2261436	10.3	-53.6993864	11.1	2	1	1998.518	7.0	11.6	-37.9	7.8	16.673	17.293	30.000	15.962	15.858	15.093
265.227572293	-53.697186417	265.2275689	-53.6971808	5921745021888227968	265.2276072	19.0	-53.6972436	17.3	3	2	1998.524	4.9	6.0	-13.7	5.7	16.215	17.003				
265.229671036	-53.696592197	265.2296830	-53.6965750	5921745021902882816	265.2295497	19.0	-53.6967672	17.3	3	0	1998.526	-17.3	30.4	-42.0	30.4	16.939	17.075				
265.162449746	-53.708571643	265.1624469	-53.7085647	5921745120678582272	265.1624786	20.2	-53.7086422	21.8	2	9	1998.521	4.1	1.5	-16.9	1.6	13.233	13.605	13.160	12.771	12.737	12.757
265.163334754	-53.712302847	265.1633317	-53.7122950	5921745120678582656	265.1633653	14.2	-53.7123825	15.3	2	7	1998.521	4.4	1.5	-19.1	1.6	14.377	14.845	30.000	13.077	12.496	12.458
265.163451239	-53.694299830	265.1634536	-53.6942817	5921745159327534976	265.1634275	15.4	-53.6944836	16.6	3	3	1998.520	-3.4	2.8	-44.1	2.8	15.177	15.133				
265.163718977	-53.696127815	265.1637108	-53.6961256	5921745155038509312	265.1638019	11.3	-53.6961503	12.2	2	2	1998.523	11.8	6.4	-5.4	5.7	15.925	16.937	30.000	14.900	14.458	14.310
265.165488531	-53.696295166	265.1654886	-53.6962881	5921745155038512000	265.1654878	12.2	-53.6963667	13.2	2	5	1998.521	-0.1	2.4	-17.2	2.7	15.456	16.155	30.000	14.289	13.801	13.551
265.165921436	-53.705988874	265.1659256	-53.7059853	5921745155038322432	265.1658789	25.1	-53.7060253	27.0	3	0	1998.521	-6.0	19.7	-8.7	14.8	16.426	17.016				
265.166116077	-53.707187862	265.1660981	-53.7071817	5921745124967673728	265.1662986	15.4	-53.7072506	18.5	2	1	1998.521	25.9	13.9	-15.0	13.9	16.653	16.898	30.000	15.337	15.271	14.849
265.166825248	-53.702656020	265.1668283	-53.7026467	5921745155038323584	265.1667944	11.3	-53.7027506	12.2	2	4	1998.522	-4.4	3.6	-22.7	3.6	15.956	16.381	30.000	14.801	14.560	14.412
265.167466035	-53.710360192	265.1674761	-53.7103878	5921745120678585472	265.1673639	25.5	-53.7100803	27.5	2	4	1998.521	-14.5	5.2	67.2	5.5	16.762	16.464	12.160	14.256	14.503	13.694
265.167702912	-53.697969987	265.1677043	-53.6979644	5921745155038515200	265.1676894	0.5	-53.6980269	0.6	2	9	1998.521	-2.0	0.9	-13.6	0.9	12.110	12.236	11.840	10.429	9.909	9.802
265.168526650	-53.700320960	265.1685389	-53.7003083	5921745159327452416	265.1684022	15.4	-53.7004497	16.6	2	2	1998.525	-17.7	9.4	-30.9	9.1	17.323	16.901	30.000	15.272	15.015	14.987
265.168446848	-53.695856192	265.1684456	-53.6958456	5921745155038516736	265.1684597	11.5	-53.6959636	12.4	2	3	1998.522	1.8	6.4	-25.8	6.9	16.170	17.152	30.000	15.183	15.006	13.679
265.168743475	-53.704269793	265.1687661	-53.7042564	5921745159327417984	265.1685144	15.4	-53.7044056	16.6	2	5	1998.521	-32.6	2.8	-32.6	2.9	15.927	15.639	30.000	14.298	14.134	13.973
265.168937882	-53.709213096	265.1689367	-53.7092089	5921745120678586240	265.1689497	12.2	-53.7092556	13.1	2	2	1998.519	1.7	6.6	-10.2	7.0	15.594	16.130	30.000	14.163	13.849	13.740
265.169082558	-53.702422018	265.1690811	-53.7024147	5921745159327434240	265.1690972	15.4	-53.7024964	16.6	2	5	1998.520	2.1	2.9	-17.8	2.8	15.616	16.300	30.000	14.519	14.185	14.137
265.170356103	-53.696237915	265.1703269	-53.6962275	5921745159327477632	265.1706517	15.4	-53.6963433	16.7	2	0	1998.518	42.0	30.4	-25.3	30.4	17.511	15.828	30.000	13.753	14.365	13.131
