_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
265.2281798435557	-53.6978662735576	265.22820380046	0.0908	-53.69794306720	0.0914	5921745021888216576	0.2760	0.0976	3.294	0.190	-17.836	0.174	0	2.6037e+03	3.0681e+00	17.1494	0.0013	1.6787e+03	6.5870e+01	17.2890	0.0426	2.2329e+03	3.7318e+01	16.3898	0.0181	0.8992							
265.2287455101242	-53.6978791577537	265.22880123757	0.6246	-53.69794940595	0.6231	5921745021888216704	0.5084	0.6020	7.663	1.076	-16.316	1.013	1	3.4922e+02	2.5895e+00	19.3306	0.0081																
265.2280307321435	-53.6984565079542	265.22805455206	0.8621	-53.69853351704	0.8007	5921745021888216960	0.6839	0.7459	3.275	2.278	-17.886	1.810	0	2.4879e+02	1.7673e+00	19.6988	0.0077																
265.2204753890023	-53.6948422390834	265.22049670261	0.1012	-53.69491628088	0.0999	5921745021888269824	0.4610	0.1060	2.931	0.187	-17.197	0.176	0	2.4897e+03	3.8151e+00	17.1980	0.0017	1.5647e+03	2.3764e+01	17.3653	0.0165	1.9926e+03	1.8779e+01	16.5133	0.0102	0.8520							
265.2220625159087	-53.6948108233093	265.22206251591	3.5389	-53.69481082331	1.6249	5921745021904255744							0	1.0376e+02	2.2982e+00	20.6483	0.0240																
265.2220111992712	-53.6936580012054	265.22201119927	1.7127	-53.69365800121	0.9186	5921745021904254720							0	2.0736e+02	4.1966e+00	19.8966	0.0220																
265.2253936446144	-53.6986841545352	265.22535544769	0.4797	-53.69870507477	0.4389	5921745021888228608	1.3407	0.5553	-5.252	0.761	-4.859	0.756	0	3.7267e+02	2.0129e+00	19.2600	0.0059																
265.2261215659701	-53.6993157509465	265.22614533657	0.0959	-53.69938792790	0.0991	5921745017599637760	0.5863	0.1115	3.269	0.153	-16.764	0.162	0	3.6828e+03	4.2438e+00	16.7729	0.0013	2.1460e+03	4.1490e+01	17.0223	0.0210	2.7309e+03	3.5527e+01	16.1712	0.0141	0.8512			5577.10	0.0250	0.0150		
265.2275809787800	-53.6971664945754	265.22760782576	0.0632	-53.69724580325	0.0645	5921745021888227968	0.2537	0.0719	3.692	0.124	-18.420	0.116	0	5.6579e+03	4.5543e+00	16.3067	0.0009	3.2174e+03	1.5596e+01	16.5826	0.0053	4.1059e+03	2.0920e+01	15.7284	0.0055	0.8542			5634.67				
265.2265039593209	-53.6985581117890	265.22650395932	3.6143	-53.69855811179	2.7797	5921745021888225664							0	5.4667e+02	3.8128e+00	18.8440	0.0076					1.0898e+03	5.0057e+01	17.1685	0.0499								
265.2295297040557	-53.6966927729942	265.22955045691	0.0986	-53.69676871333	0.0957	5921745021902882816	0.4700	0.0976	2.854	0.210	-17.638	0.183	0	2.8455e+03	5.0810e+00	17.0530	0.0019	1.8235e+03	3.5699e+01	17.1991	0.0213	2.5829e+03	6.9267e+01	16.2317	0.0291	0.9675			5171.63				
265.2240413071685	-53.7000955815403	265.22407841948	0.3374	-53.70017195557	0.5306	5921745021888224000	-0.1553	0.6380	5.103	0.916	-17.738	0.908	0	8.2870e+02	2.8697e+00	18.3924	0.0038	1.0097e+03	1.9271e+02	17.8409	0.2072	1.0423e+03	4.1891e+01	17.2170	0.0436	0.6240							
265.2253197155767	-53.6972274756571	265.22535006991	0.2418	-53.69730254626	0.2133	5921745021888237312	0.3977	0.2386	4.174	0.465	-17.436	0.402	0	8.1245e+02	3.2476e+00	18.4139	0.0043	9.8398e+02	1.4341e+02	17.8689	0.1582	9.5286e+02	3.8508e+01	17.3143	0.0439	0.5546							
265.2211119409218	-53.6956373125728	265.22111194092	2.3337	-53.69563731257	2.2618	5921745021888263680							0	8.9708e+02	2.6459e+01	18.3063	0.0320																
