# RAJ2000 DEJ2000 x y 
265.1726143637501 -53.6762862030536 2970 2805
265.1726143637501 -53.6762862030536 2954.3 2895.78
265.1717847476133 -53.6734921710436 3005.88 3006.18
265.1716686075404 -53.6715079694165 3011.6 3150 
265.1746740680132 -53.6731285721580 2884.3 3039 
265.1715378630836 -53.6718965673198 3017.9 3128 
265.1673337	-53.6754750 3197.29 2870.84
265.1678392 -53.6755942 3174.78	2855.73
265.1675988 -53.6760983 3184.93	2819.57
265.1665208 -53.6758383 3230.77	2838.3
265.1683867 -53.6762661 3150.86	2807.5
265.1287221 -53.6790772 4823.3 2488.84
265.1281925 -53.6791019 4845.64 2479.88
265.1119217 -53.6630842 5563.32 3518.99
265.1128208 -53.6629508 5563.32	3533.96
265.1132779 -53.6635219 5492.71 3490.27
265.1152842 -53.6631231 5415 3530
265.2063508 -53.6925608 1510 1848
265.2066608 -53.6919786 1501 1900
265.2074625 -53.6920147 1463 1893
265.2080746 -53.6923592 1441 1882
265.2079875 -53.6928694 1442 1853
265.2088783 -53.6681033 1437 3491
265.2080496 -53.6678803 1472 3499
265.1846067 -53.6646708 2460 3648
265.1842029 -53.6647336 2489 3644
265.1841437 -53.6644300 2478 3660
265.1830917 -53.6647167 2534 3639
265.1828996 -53.6653681 2532 3592

